run,IGD,HV
1,18.437996438299958,0.0
2,13.979279520286312,0.0
3,12.769996696488962,0.0
4,13.632187690700881,0.0
5,13.700482529135748,0.0
6,17.032615304711555,0.0
7,13.904640059315984,0.0
8,11.640143328560377,0.0
9,19.004150749781708,0.0
10,19.037593376488424,0.0
11,11.432166460931958,0.0
12,17.296149456078073,0.0
13,19.252000115884556,0.0
14,15.676507279660392,0.0
15,15.321904384364183,0.0
16,16.76698572432436,0.0
17,16.328534902956946,0.0
18,15.529161953875544,0.0
19,12.451319205445744,0.0
20,7.454709066092039,0.0
21,16.800326051901372,0.0
22,13.522283103431086,0.0
23,5.757616567596467,0.0
24,19.878498159706783,0.0
25,14.031034372764543,0.0
26,15.768945502368705,0.0
27,14.024269393219036,0.0
28,11.195079939604744,0.0
29,15.816821722150765,0.0
30,17.81535981375409,0.0
